ID,Easting,Northing,Latitude(DDD.DDDD),Longitude(DDD.DDDD)
2,843622,813951,22.264360810,114.248224081
3,843333,814109,22.265788861,114.245420851
4,842947,814013,22.264923457,114.241675379
5,842646,813814,22.263127497,114.238754226
6,842419,813736,22.262423931,114.236551555
7,842246,813653,22.261674995,114.234872795
8,842182,813741,22.262469913,114.234252192
9,842149,813996,22.264772842,114.233932959
10,842092,814350,22.267969885,114.233381219
11,842111,814519,22.269496000,114.233566180
12,842016,814846,22.272449340,114.232645612
13,841835,815086,22.274617288,114.230890252
15,836740,815798,22.281056037,114.181454315
16,836554,815722,22.280369750,114.179649484
17,831457,840927,22.507977034,114.130115928
18,836068,815612,22.279376393,114.174933707
19,835644,815588,22.279159558,114.170819557
20,831231,841090,22.509448334,114.127918899
21,834543,815898,22.281958309,114.160136014
22,834350,815826,22.281307900,114.158263347
23,834272,816048,22.283312612,114.157506211
24,834053,816219,22.284856584,114.155380914
26,834105,816179,22.284495424,114.155885554
27,834210,816042,22.283258356,114.156904603
28,834453,815978,22.282680667,114.159262619
30,835508,815645,22.279674250,114.169499897
31,835876,815624,22.279484729,114.173070688
32,836178,815914,22.282103655,114.176001043
33,841864,815086,22.274617194,114.231171636
35,842077,814745,22.271537041,114.233237113
36,842120,814412,22.268529690,114.233653113
40,842454,813774,22.262766970,114.236891272
42,842822,813944,22.264300822,114.240462322
43,842938,814035,22.265122166,114.241588151
46,843941,813766,22.262688751,114.251318186
48,842527,814357,22.268031575,114.237601796
49,838171,816605,22.288342768,114.195340726
50,838176,816468,22.287105566,114.195389082
51,838202,816314,22.285714820,114.195641193
53,838257,816249,22.285127766,114.196174812
54,838344,816464,22.287069249,114.197019304
55,838534,816486,22.287267683,114.198863045
56,838719,816423,22.286698500,114.200658142
57,838533,816074,22.283547064,114.198852759
58,838899,816952,22.291475436,114.202405679
59,838593,816885,22.290870825,114.199436146
60,838426,816849,22.290545940,114.197815530
61,838144,816768,22.289814790,114.195078914
62,837997,816589,22.288198462,114.193652243
63,837926,816216,22.284830107,114.192962886
64,837519,815698,22.280152582,114.189013123
66,836954,815055,22.274346199,114.183530506
67,837084,814626,22.270471994,114.184791658
68,836873,814582,22.270074733,114.182744395
69,836648,814737,22.271474549,114.180561355
74,842066,814511,22.269423907,114.233129538
75,841770,813828,22.263256943,114.230255252
79,840455,809885,22.227652689,114.217486725
80,840245,809624,22.225296174,114.215449155
82,840003,808944,22.219155838,114.213100303
84,840413,808669,22.216671459,114.217076206
87,840408,808664,22.216626318,114.217027699
89,839812,809248,22.221901574,114.211248453
90,840037,809489,22.224077497,114.213431348
91,840287,809675,22.225756643,114.215856661
93,841003,810754,22.235498943,114.222804687
94,840919,811582,22.242976575,114.221992268
95,842317,818753,22.307730952,114.235580877
96,841814,813923,22.264114714,114.230682472
97,842030,814469,22.269044740,114.232780097
99,842212,814010,22.264899055,114.234544249
100,841456,815393,22.277390877,114.227213857
101,841339,815568,22.278971587,114.226079152
102,841068,815761,22.280715276,114.223450170
103,840787,816064,22.283452318,114.220724398
104,840383,816178,22.284482822,114.216804484
105,840136,816189,22.284582732,114.214407732
106,839887,816206,22.284736794,114.211991584
107,839712,816444,22.286886443,114.210293970
108,839610,816779,22.289911904,114.209304889
109,839464,816950,22.291456418,114.207888457
110,839316,816998,22.291890157,114.206452350
111,839052,816988,22.291800298,114.203890459
112,838777,816927,22.291249853,114.201221747
113,836954,815681,22.279999380,114.183530775
116,836443,815498,22.278346902,114.178572395
118,836177,815437,22.277796040,114.175991365
119,835979,815415,22.277597345,114.174070156
120,835770,815394,22.277407654,114.172042219
121,835689,815400,22.277461813,114.171256268
122,835057,815462,22.278021387,114.165123880
124,833936,816300,22.285587911,114.154245478
125,833502,816629,22.288558347,114.150033535
