Line Code,Direction,Station Code,Station ID,Chinese Name,English Name,Sequence,Lat,Long
AEL,DT,AWE,56,博覽館,AsiaWorld-Expo,1.00,22.3218,113.9412
AEL,DT,AIR,47,機場,Airport,2.00,22.316,113.9366
AEL,DT,TSY,46,青衣,Tsing Yi,3.00,22.3584,114.107
AEL,DT,KOW,45,九龍,Kowloon,4.00,22.3049,114.1615
AEL,DT,HOK,44,香港,Hong Kong,5.00,22.285,114.158
DRL,DT,SUN,54,欣澳,Sunny Bay,1.00,22.3318,114.0288
DRL,DT,DIS,55,迪士尼,Disneyland Resort,2.00,22.3155,114.0451
EAL,DT,LOW,76,羅湖,Lo Wu,1.00,22.5283,114.1134
EAL,DT,SHS,75,上水,Sheung Shui,2.00,22.5012,114.128
EAL,DT,FAN,74,粉嶺,Fanling,3.00,22.4921,114.1387
EAL,DT,TWO,73,太和,Tai Wo,4.00,22.4511,114.1611
EAL,DT,TAP,72,大埔墟,Tai Po Market,5.00,22.4446,114.1706
EAL,DT,UNI,71,大學,University,6.00,22.4134,114.2102
EAL,DT,FOT,69,火炭,Fo Tan,7.00,22.3953,114.1982
EAL,DT,SHT,68,沙田,Sha Tin,8.00,22.3825,114.1875
EAL,DT,TAW,67,大圍,Tai Wai,9.00,22.3731,114.1786
EAL,DT,KOT,8,九龍塘,Kowloon Tong,10.00,22.337,114.1762
EAL,DT,MKK,65,旺角東,Mong Kok East,11.00,22.3222,114.1728
EAL,DT,HUH,64,紅磡,Hung Hom,12.00,22.3029,114.1816
EAL,LMC-DT,LMC,78,落馬洲,Lok Ma Chau,1.00,22.5144,114.0657
ISL,DT,CHW,37,柴灣,Chai Wan,1.00,22.2644,114.2368
ISL,DT,HFC,36,杏花邨,Heng Fa Chuen,2.00,22.2769,114.2398
ISL,DT,SKW,35,筲箕灣,Shau Kei Wan,3.00,22.2789,114.2289
ISL,DT,SWH,34,西灣河,Sai Wan Ho,4.00,22.2816,114.2224
ISL,DT,TAK,33,太古,Tai Koo,5.00,22.2846,114.2161
ISL,DT,QUB,32,鰂魚涌,Quarry Bay,6.00,22.2878,114.2096
ISL,DT,NOP,31,北角,North Point,7.00,22.2909,114.2007
ISL,DT,FOH,30,炮台山,Fortress Hill,8.00,22.2881,114.1936
ISL,DT,TIH,29,天后,Tin Hau,9.00,22.2827,114.1917
ISL,DT,CAB,28,銅鑼灣,Causeway Bay,10.00,22.2802,114.1835
ISL,DT,WAC,27,灣仔,Wan Chai,11.00,22.2773,114.1728
ISL,DT,ADM,2,金鐘,Admiralty,12.00,22.2788,114.1646
ISL,DT,CEN,1,中環,Central,13.00,22.282,114.1576
ISL,DT,SHW,26,上環,Sheung Wan,14.00,22.2862,114.1518
ISL,DT,SYP,81,西營盤,Sai Ying Pun,15.00,22.2856,114.1427
ISL,DT,HKU,82,香港大學,HKU,16.00,22.2841,114.1356
ISL,DT,KET,83,堅尼地城,Kennedy Town,17.00,22.2812,114.1285
KTL,DT,TIK,49,調景嶺,Tiu Keng Leng,1.00,22.3042,114.2524
KTL,DT,YAT,48,油塘,Yau Tong,2.00,22.2979,114.2371
KTL,DT,LAT,38,藍田,Lam Tin,3.00,22.3068,114.233
KTL,DT,KWT,15,觀塘,Kwun Tong,4.00,22.3121,114.2265
KTL,DT,NTK,14,牛頭角,Ngau Tau Kok,5.00,22.3154,114.2193
KTL,DT,KOB,13,九龍灣,Kowloon Bay,6.00,22.3235,114.2141
KTL,DT,CHH,12,彩虹,Choi Hung,7.00,22.3348,114.2089
KTL,DT,DIH,11,鑽石山,Diamond Hill,8.00,22.3401,114.2016
KTL,DT,WTS,10,黃大仙,Wong Tai Sin,9.00,22.3417,114.1939
KTL,DT,LOF,9,樂富,Lok Fu,10.00,22.338,114.1871
KTL,DT,KOT,8,九龍塘,Kowloon Tong,11.00,22.337,114.1762
KTL,DT,SKM,7,石硤尾,Shek Kip Mei,12.00,22.332,114.1687
KTL,DT,PRE,16,太子,Prince Edward,13.00,22.3245,114.1683
KTL,DT,MOK,6,旺角,Mong Kok,14.00,22.3191,114.1694
KTL,DT,YMT,5,油麻地,Yau Ma Tei,15.00,22.3129,114.1707
KTL,DT,HOM,84,何文田,Ho Man Tin,16.00,22.3093,114.1829
KTL,DT,WHA,85,黃埔,Whampo,17.00,22.305,114.1896
TML,UT,WKS,103,烏溪沙,Wu Kai Sha,1.00,22.4291,114.2438
TML,UT,MOS,102,馬鞍山,Ma On Shan,2.00,22.4247,114.2316
TML,UT,HEO,101,恆安,Heng On,3.00,22.4174,114.2258
TML,UT,TSH,100,大水坑,Tai Shui Hang,4.00,22.4088,114.223
TML,UT,SHM,99,石門,Shek Mun,5.00,22.3877,114.2083
TML,UT,CIO,98,第一城,City One,6.00,22.3828,114.2035
TML,UT,STW,97,沙田圍,Sha Tin Wai,7.00,22.3771,114.195
TML,UT,CKT,96,車公廟,Che Kung Temple,8.00,22.3748,114.1861
TML,UT,TAW,67,大圍,Tai Wai,9.00,22.3731,114.1786
TML,UT,HIK,90,顯徑,Hin Keng,10.00,22.364,114.1708
TML,UT,DIH,11,鑽石山,Diamond Hill,11.00,22.3401,114.2016
TML,UT,KAT,91,啟德,Kai Tak,12.00,22.3304,114.1994
TCL,DT,TUC,43,東涌,Tung Chung,1.00,22.2893,113.9416
TCL,DT,SUN,54,欣澳,Sunny Bay,2.00,22.3318,114.0288
TCL,DT,TSY,42,青衣,Tsing Yi,3.00,22.3584,114.107
TCL,DT,LAK,21,茘景,Lai King,4.00,22.3484,114.1261
TCL,DT,NAC,53,南昌,Nam Cheong,5.00,22.3268,114.1533
TCL,DT,OLY,41,奧運,Olympic,6.00,22.3178,114.1602
TCL,DT,KOW,40,九龍,Kowloon,7.00,22.3049,114.1615
TCL,DT,HOK,39,香港,Hong Kong,8.00,22.285,114.158
TKL,DT,POA,52,寶琳,Po Lam,1.00,22.3224,114.258
TKL,DT,HAH,51,坑口,Hang Hau,2.00,22.3156,114.2644
TKL,DT,TKO,50,將軍澳,Tseung Kwan O,3.00,22.3074,114.26
TKL,DT,TIK,49,調景嶺,Tiu Keng Leng,4.00,22.3042,114.2524
TKL,DT,YAT,48,油塘,Yau Tong,5.00,22.2979,114.2371
TKL,DT,QUB,32,鰂魚涌,Quarry Bay,6.00,22.2878,114.2096
TKL,DT,NOP,31,北角,North Point,7.00,22.2909,114.2007
TKL,TKS-DT,LHP,57,康城,LOHAS Park,1.00,22.2957,114.2689
TWL,DT,TSW,25,荃灣,Tsuen Wan,1.00,22.3736,114.1178
TWL,DT,TWH,24,大窩口,Tai Wo Hau,2.00,22.3708,114.125
TWL,DT,KWH,23,葵興,Kwai Hing,3.00,22.3632,114.1312
TWL,DT,KWF,22,葵芳,Kwai Fong,4.00,22.3569,114.1279
TWL,DT,LAK,21,茘景,Lai King,5.00,22.3484,114.1261
TWL,DT,MEF,20,美孚,Mei Foo,6.00,22.3381,114.1376
TWL,DT,LCK,19,茘枝角,Lai Chi Kok,7.00,22.3373,114.1482
TWL,DT,CSW,18,長沙灣,Cheung Sha Wan,8.00,22.3354,114.1563
TWL,DT,SSP,17,深水埗,Sham Shui Po,9.00,22.3307,114.1623
TWL,DT,PRE,16,太子,Prince Edward,10.00,22.3245,114.1683
TWL,DT,MOK,6,旺角,Mong Kok,11.00,22.3191,114.1694
