ID,Easting,Northing
2,843622,813951
3,843333,814109
4,842947,814013
5,842646,813814
6,842419,813736
7,842246,813653
8,842182,813741
9,842149,813996
10,842092,814350
11,842111,814519
12,842016,814846
13,841835,815086
15,836740,815798
16,836554,815722
17,831457,840927
18,836068,815612
19,835644,815588
20,831231,841090
21,834543,815898
22,834350,815826
23,834272,816048
24,834053,816219
26,834105,816179
27,834210,816042
28,834453,815978
30,835508,815645
31,835876,815624
32,836178,815914
33,841864,815086
35,842077,814745
36,842120,814412
40,842454,813774
42,842822,813944
43,842938,814035
46,843941,813766
48,842527,814357
49,838171,816605
50,838176,816468
51,838202,816314
53,838257,816249
54,838344,816464
55,838534,816486
56,838719,816423
57,838533,816074
58,838899,816952
59,838593,816885
60,838426,816849
61,838144,816768
62,837997,816589
63,837926,816216
64,837519,815698
66,836954,815055
67,837084,814626
68,836873,814582
69,836648,814737
74,842066,814511
75,841770,813828
79,840455,809885
80,840245,809624
82,840003,808944
84,840413,808669
87,840408,808664
89,839812,809248
90,840037,809489
91,840287,809675
93,841003,810754
94,840919,811582
95,842317,818753
96,841814,813923
97,842030,814469
99,842212,814010
100,841456,815393
101,841339,815568
102,841068,815761
103,840787,816064
104,840383,816178
105,840136,816189
106,839887,816206
107,839712,816444
108,839610,816779
109,839464,816950
110,839316,816998
111,839052,816988
112,838777,816927
113,836954,815681
116,836443,815498
118,836177,815437
119,835979,815415
120,835770,815394
121,835689,815400
122,835057,815462
124,833936,816300
125,833502,816629
127,833903,816342
128,834512,815761
129,834606,815696
130,834958,815533
131,835515,815439
132,835952,815436
133,836202,815464
134,836298,815477
135,836643,815593
136,837048,815708
137,837583,815779
139,837920,816521
140,838144,816797
141,838430,816875
142,838780,816951
143,838903,816977
144,839307,817023
146,839665,816681
147,839820,816304
148,840107,816212
149,840309,816209
151,840885,815970
152,841084,815772
155,842217,813970
156,842460,814004
157,843166,814251
159,843708,813805
161,843014,814319
163,833926,816392
166,842849,815253
167,842716,815421
169,841886,815765
170,841894,815555
171,841899,815422
172,841862,815251
173,840926,815874
174,840890,816049
175,841067,816147
176,841074,816036
178,838672,816950
179,838824,817153
180,840458,816272
181,840970,815943
182,841852,815238
183,841886,815478
185,841886,815796
187,842109,815991
188,842901,815158
190,842760,814619
193,835646,819170
194,835605,819401
197,835121,820596
199,834678,821204
203,834518,821334
204,834324,821654
205,834301,821806
206,834566,821817
207,834659,821424
208,834829,821264
209,835033,821091
210,835182,820969
211,835378,820715
212,835419,820487
214,835626,819406
216,835700,818992
219,836652,818079
220,837237,816134
221,837734,816322
222,837996,816726
223,838129,816883
228,838246,816809
230,836492,815437
231,836189,815327
232,835728,815508
233,835144,815556
234,836064,815391
235,836292,815366
236,836501,815449
237,836801,815358
238,837047,815413
240,834528,816347
241,834511,816209
244,834570,815420
245,834272,815291
246,833932,815614
247,833693,815831
248,833436,816000
249,833286,816027
250,833382,815997
252,833572,815779
253,833835,815532
254,834007,815242
255,834292,815406
256,834495,815491
257,834437,815669
258,834268,815892
259,834501,816238
261,834125,815841
262,833930,815954
263,833939,815896
264,833971,815683
265,832968,816215
266,832905,816142
267,832829,816113
268,832983,816170
269,833170,815966
270,833244,815926
271,833558,815744
274,835989,816137
276,836751,815638
277,837142,815686
279,837660,815504
280,837992,815357
282,838031,815887
283,838143,816113
284,838095,816208
285,838228,816499
286,838437,816583
287,838660,816583
288,838908,816647
289,838612,816266
291,838599,816248
292,838548,816462
293,838382,816481
294,838321,816399
295,838234,816214
296,838179,816503
297,837735,816061
300,837994,815807
301,837997,815555
304,837697,815460
306,832399,813206
307,832242,813359
308,832243,813018
309,832551,812615
310,833337,812297
312,834349,812084
313,834784,812219
315,836149,812357
316,836617,815262
318,835455,815421
319,834749,815623
320,834090,816113
321,833903,816159
322,833627,816174
323,833405,816344
324,833015,816415
325,832755,816438
326,832628,816446
327,832463,816288
328,832016,816082
329,831785,816096
330,831678,815866
331,831554,815489
332,831467,814960
334,831503,814533
335,831695,814234
336,831822,813949
337,832020,813745
338,832109,813547
340,832308,812997
341,832074,813525
343,831776,813980
344,831639,814277
345,831507,814463
346,831426,815011
347,831534,815497
348,831673,815920
349,831743,816083
350,831934,816163
351,832308,816266
352,832424,816369
353,832509,816566
354,832646,816570
355,832883,816562
356,833118,816546
359,834216,816529
360,834549,816423
362,835776,815299
364,836256,815346
365,836651,815181
366,836121,812332
369,834849,812181
371,834067,812035
372,833753,812133
375,832217,813023
377,832451,816153
378,832597,816220
379,833959,816435
380,832693,816173
381,832324,816133
382,831820,816389
384,831882,816481
385,832179,816467
388,834528,815850
389,835664,815426
392,831505,816084
393,831204,815956
394,830926,815909
395,830685,815906
396,830929,815925
398,831455,816162
399,831546,816244
400,831642,816380
401,834853,815649
403,840363,808207
406,840122,809573
407,839531,809430
408,838976,809685
409,838621,810750
411,838154,811089
412,837896,810961
413,837563,810986
416,836372,811920
417,836192,812151
418,836447,815102
419,836206,815108
420,835829,815076
422,835381,815372
425,835343,815417
426,835579,815250
427,835733,815147
429,836267,815147
430,836212,812208
431,836459,811893
434,837584,810983
435,837930,811074
436,838169,811099
437,838522,811080
440,838960,809774
441,839614,809608
443,839931,809565
444,840070,809565
446,839863,809163
448,840364,808229
449,833595,811729
450,834030,811615
451,834181,811654
452,834169,811633
453,834014,811584
454,833471,811704
457,833413,811575
458,833194,811602
462,834442,812085
467,834927,815647
468,835073,815529
469,836724,815502
471,833052,816228
472,833235,816085
473,833382,816029
474,833589,815947
475,833886,812340
476,834094,812205
481,837646,815572
482,834318,811455
483,834154,811330
484,833993,811413
486,836576,815179
487,835967,812090
489,832134,812792
490,832054,812666
491,832110,812489
493,835581,812384
495,832311,812547
496,832193,812461
497,832055,812580
498,832026,812737
499,832077,812563
501,832243,813366
502,832460,813137
503,832460,812947
505,834050,812084
506,834156,816205
507,833231,816405
508,832936,816453
510,834383,816247
511,833216,812202
512,832930,812203
513,832486,812319
514,832915,812211
517,815901,827545
518,834939,815587
520,836536,814448
521,836815,814368
523,837822,813460
526,836702,812827
527,836036,812433
528,835902,812349
529,835314,812258
530,834106,812322
531,834179,812525
532,834311,812575
535,834192,812191
536,834234,812365
538,836016,812437
539,836730,812839
540,837104,812823
541,837881,813191
545,836791,814234
546,836790,814378
547,836586,814420
548,836427,814600
550,841571,815508
551,841354,815371
552,841388,815248
553,841074,815381
554,840737,815567
555,840494,815689
556,840672,815772
557,840763,815866
558,833430,812343
559,833461,812433
560,833253,812403
562,840797,815767
563,840684,815714
564,840546,815612
565,840841,815610
567,841302,815199
568,841329,815396
571,837354,814226
572,837259,814382
573,837087,814454
582,837823,815105
583,837774,815338
585,838159,815260
586,837143,815661
587,836305,815454
588,834184,816170
589,834351,815852
591,837960,815201
592,837809,815195
593,837874,815063
594,837923,814972
595,838045,814974
597,838010,814846
598,838101,814668
599,838084,814513
604,834138,815219
605,834240,815197
606,834326,815176
607,834453,815170
608,834662,815173
609,834442,815269
610,837732,815851
611,833832,816223
612,832435,816429
613,831987,816350
616,834737,815709
617,835963,815071
618,836438,815125
619,837506,815357
620,837220,815191
621,833654,816413
623,833159,816526
624,833031,816538
625,832655,816551
626,832273,816476
627,832071,816416
628,831619,816291
629,831467,816152
632,837628,815118
633,837692,816362
635,837836,815790
636,837797,815580
637,831718,816377
638,830154,815221
639,830142,815228
640,830179,815576
641,830350,815781
644,830481,815792
645,830277,815714
646,830183,815536
647,834658,815898
648,837925,812549
649,837769,811890
650,837530,811290
652,837701,811672
653,837881,812691
657,837937,816359
658,836900,815878
659,834043,811317
661,837845,816274
662,837824,814941
663,837851,814809
664,837769,814664
665,837614,814385
666,837688,814113
667,837663,813748
668,831961,812748
670,837687,813760
672,838366,816988
673,832826,816164
674,833911,815694
675,834406,815831
677,830421,814903
678,830801,814841
679,831052,814931
681,830978,814589
682,831141,814380
683,831223,814207
684,831381,814261
685,831676,813869
686,832073,812905
687,832289,812731
688,831797,813451
689,831902,813048
691,831763,813673
692,831599,813896
694,831178,814272
695,831055,814451
696,830968,814614
697,831104,814712
698,830958,814889
700,831818,813662
703,836143,812225
706,841119,819355
707,840342,819666
708,839036,827530
709,838905,827432
711,840128,820635
712,840659,819577
716,838593,810883
718,836267,821930
719,839043,827561
721,838842,827696
723,836160,817725
724,835327,818303
725,835306,820365
726,835494,819389
734,834927,815506
736,838586,817033
738,836821,815347
739,832488,822005
740,833731,822176
741,834105,821866
742,834323,821788
743,834570,821478
744,835597,819558
745,835652,819264
746,837358,815682
747,841568,815782
748,840810,816034
749,839790,816299
751,835499,819956
752,835431,820306
754,835171,820947
756,834770,821282
757,834090,821844
758,833931,821979
760,833229,821983
768,836499,821851
770,836425,820504
773,836192,819280
774,836217,818905
775,836595,818610
776,835917,815586
777,834159,815542
778,834441,815760
779,836189,818962
780,836253,819369
781,836416,819814
782,836143,819998
783,836396,820504
785,836452,821449
786,836631,821667
787,836726,821731
788,836758,822098
790,837251,822079
793,837643,822908
794,839455,820336
795,839560,820394
797,839487,821179
798,839355,821309
801,839357,821508
